nodeid	level_1	level_2	level_3	level_4	level_5
1	Arts & Photography	N/A	N/A	N/A	N/A
173508	Arts & Photography	Architecture	N/A	N/A	N/A
266162	Arts & Photography	Architecture	Buildings	N/A	N/A
720870	Arts & Photography	Architecture	Buildings	General	N/A
3564986011	Arts & Photography	Architecture	Buildings	Landmarks & Monuments	N/A
882340	Arts & Photography	Architecture	Buildings	Religious Buildings	N/A
1007	Arts & Photography	Architecture	Buildings	Residential	N/A
1002	Arts & Photography	Architecture	Criticism	N/A	N/A
4539344011	Arts & Photography	Architecture	Decoration & Ornament	N/A	N/A
266160	Arts & Photography	Architecture	Drafting & Presentation	N/A	N/A
1005	Arts & Photography	Architecture	General	N/A	N/A
872404	Arts & Photography	Architecture	Historic Preservation	N/A	N/A
15762881	Arts & Photography	Architecture	History	N/A	N/A
3564987011	Arts & Photography	Architecture	History	Baroque & Rococo	N/A
15762891	Arts & Photography	Architecture	History	General	N/A
3564988011	Arts & Photography	Architecture	History	Modern & Contemporary	N/A
8929882011	Arts & Photography	Architecture	History	Modern & Contemporary	Contemporary
8929883011	Arts & Photography	Architecture	History	Modern & Contemporary	Modern
3564989011	Arts & Photography	Architecture	History	Prehistoric & Primitive	N/A
3564990011	Arts & Photography	Architecture	History	Romanticism	N/A
1008	Arts & Photography	Architecture	Individual Architects & Firms	N/A	N/A
7921642011	Arts & Photography	Architecture	Individual Architects & Firms	Essays	N/A
1019	Arts & Photography	Architecture	Individual Architects & Firms	General	N/A
7921643011	Arts & Photography	Architecture	Individual Architects & Firms	Monographs	N/A
4539346011	Arts & Photography	Architecture	Interior Design	N/A	N/A
1057	Arts & Photography	Architecture	Landscape	N/A	N/A
1059	Arts & Photography	Architecture	Project Planning & Management	N/A	N/A
8929884011	Arts & Photography	Architecture	Project Planning & Management	Professional Management	N/A
8929885011	Arts & Photography	Architecture	Project Planning & Management	Project Management	N/A
1048	Arts & Photography	Architecture	Regional	N/A	N/A
7743006011	Arts & Photography	Architecture	Security Design	N/A	N/A
4539347011	Arts & Photography	Architecture	Sustainability & Green Design	N/A	N/A
720868	Arts & Photography	Architecture	Urban & Land Use Planning	N/A	N/A
8929886011	Arts & Photography	Architecture	Urban & Land Use Planning	Adaptive Reuse	N/A
8929887011	Arts & Photography	Architecture	Urban & Land Use Planning	Land Use Planning	N/A
13922567011	Arts & Photography	Architecture	Vernacular	N/A	N/A
1835	Arts & Photography	Business of Art	N/A	N/A	N/A
1525	Arts & Photography	Collections, Catalogs & Exhibitions	N/A	N/A	N/A
8622763011	Arts & Photography	Collections, Catalogs & Exhibitions	General	N/A	N/A
8622764011	Arts & Photography	Collections, Catalogs & Exhibitions	Group Shows	N/A	N/A
8622765011	Arts & Photography	Collections, Catalogs & Exhibitions	Permanent Collections	N/A	N/A
336832011	Arts & Photography	Decorative Arts & Design	N/A	N/A	N/A
1851	Arts & Photography	Decorative Arts & Design	Decorative Arts	N/A	N/A
3564963011	Arts & Photography	Decorative Arts & Design	Design History & Criticism	N/A	N/A
1852	Arts & Photography	Decorative Arts & Design	Furniture Design	N/A	N/A
3564966011	Arts & Photography	Decorative Arts & Design	Industrial & Product Design	N/A	N/A
8298052011	Arts & Photography	Decorative Arts & Design	Industrial & Product Design	Industrial	N/A
8298053011	Arts & Photography	Decorative Arts & Design	Industrial & Product Design	Product	N/A
5824912011	Arts & Photography	Decorative Arts & Design	Interior & Home Design	N/A	N/A
5399	Arts & Photography	Decorative Arts & Design	Interior & Home Design	Decoration & Ornament	N/A
13922573011	Arts & Photography	Decorative Arts & Design	Jewelry Design	N/A	N/A
1854	Arts & Photography	Decorative Arts & Design	Textile & Costume	N/A	N/A
1855	Arts & Photography	Drawing	N/A	N/A	N/A
1839	Arts & Photography	Drawing	Cartooning	N/A	N/A
14292115011	Arts & Photography	Drawing	Cartooning	Anime & Cartoons	N/A
14292116011	Arts & Photography	Drawing	Cartooning	Comics	N/A
14292117011	Arts & Photography	Drawing	Cartooning	General	N/A
14292118011	Arts & Photography	Drawing	Cartooning	Manga	N/A
520992	Arts & Photography	Drawing	Colored Pencil	N/A	N/A
11357541011	Arts & Photography	Drawing	Coloring Books for Grown-Ups	N/A	N/A
14279703011	Arts & Photography	Drawing	Coloring Books for Grown-Ups	Animals	N/A
14279705011	Arts & Photography	Drawing	Coloring Books for Grown-Ups	Cities & Architecture	N/A
14279709011	Arts & Photography	Drawing	Coloring Books for Grown-Ups	Comics & Manga	N/A
14279714011	Arts & Photography	Drawing	Coloring Books for Grown-Ups	Fantasy & Science Fiction	N/A
14279716011	Arts & Photography	Drawing	Coloring Books for Grown-Ups	Fashion	N/A
14279719011	Arts & Photography	Drawing	Coloring Books for Grown-Ups	Flowers & Landscapes	N/A
14279722011	Arts & Photography	Drawing	Coloring Books for Grown-Ups	General	N/A
14279726011	Arts & Photography	Drawing	Coloring Books for Grown-Ups	Humorous	N/A
14279728011	Arts & Photography	Drawing	Coloring Books for Grown-Ups	Mandalas & Patterns	N/A
14279732011	Arts & Photography	Drawing	Coloring Books for Grown-Ups	Religious & Inspirational	N/A
14279733011	Arts & Photography	Drawing	Coloring Books for Grown-Ups	Science & Anatomy	N/A
520994	Arts & Photography	Drawing	Figure Drawing	N/A	N/A
1857	Arts & Photography	Drawing	General	N/A	N/A
1858	Arts & Photography	Drawing	Pastel	N/A	N/A
1859	Arts & Photography	Drawing	Pen & Ink	N/A	N/A
1860	Arts & Photography	Drawing	Pencil	N/A	N/A
1861	Arts & Photography	Drawing	Specific Objects	N/A	N/A
1862	Arts & Photography	Fashion	N/A	N/A	N/A
2030	Arts & Photography	Fashion	Fashion Photography	N/A	N/A
1829	Arts & Photography	Graphic Design	N/A	N/A	N/A
1878	Arts & Photography	Graphic Design	Airbrush	N/A	N/A
170107	Arts & Photography	Graphic Design	Animation	N/A	N/A
1840	Arts & Photography	Graphic Design	Clip Art	N/A	N/A
1841	Arts & Photography	Graphic Design	Commercial	N/A	N/A
1842	Arts & Photography	Graphic Design	Commercial	Advertising	N/A
1843	Arts & Photography	Graphic Design	Commercial	Annuals	N/A
3564964011	Arts & Photography	Graphic Design	Commercial	Book Design	N/A
3564965011	Arts & Photography	Graphic Design	Commercial	Branding & Logo Design	N/A
1844	Arts & Photography	Graphic Design	Commercial	Fashion Design	N/A
1846	Arts & Photography	Graphic Design	Commercial	Illustration	N/A
1847	Arts & Photography	Graphic Design	Commercial	Science Illustration	N/A
1867	Arts & Photography	Graphic Design	Lithography	N/A	N/A
1872	Arts & Photography	Graphic Design	Printmaking	N/A	N/A
1863	Arts & Photography	Graphic Design	Techniques	N/A	N/A
1865	Arts & Photography	Graphic Design	Techniques	Use of Color	N/A
1875	Arts & Photography	Graphic Design	Typography	N/A	N/A
1064	Arts & Photography	History & Criticism	N/A	N/A	N/A
10825731	Arts & Photography	History & Criticism	Criticism	N/A	N/A
713036011	Arts & Photography	History & Criticism	History	N/A	N/A
197504011	Arts & Photography	History & Criticism	Themes	N/A	N/A
5824913011	Arts & Photography	History & Criticism	Themes	Erotica	N/A
5824916011	Arts & Photography	History & Criticism	Themes	General	N/A
5824914011	Arts & Photography	History & Criticism	Themes	Human Figure	N/A
5824915011	Arts & Photography	History & Criticism	Themes	Landscapes & Seascapes	N/A
5824917011	Arts & Photography	History & Criticism	Themes	Plants & Animals	N/A
5824918011	Arts & Photography	History & Criticism	Themes	Portraits	N/A
1873	Arts & Photography	History & Criticism	Themes	Religious	N/A
11764635011	Arts & Photography	History & Criticism	Themes	Science Fiction & Fantasy	N/A
15762841	Arts & Photography	History & Criticism	Themes	Women in Art	N/A
1104	Arts & Photography	Individual Artists	N/A	N/A	N/A
8947733011	Arts & Photography	Individual Artists	Artists' Books	N/A	N/A
8947734011	Arts & Photography	Individual Artists	Essays	N/A	N/A
585494	Arts & Photography	Individual Artists	General	N/A	N/A
8947735011	Arts & Photography	Individual Artists	Monographs	N/A	N/A
4507	Arts & Photography	Music	N/A	N/A	N/A
2331	Arts & Photography	Music	Biographies	N/A	N/A
2332	Arts & Photography	Music	Biographies	Classical	N/A
2337	Arts & Photography	Music	Biographies	Country & Folk	N/A
8417570011	Arts & Photography	Music	Biographies	Country & Folk	Country
8417571011	Arts & Photography	Music	Biographies	Country & Folk	Folk
2338	Arts & Photography	Music	Biographies	General	N/A
9681285011	Arts & Photography	Music	Biographies	Heavy Metal	N/A
2339	Arts & Photography	Music	Biographies	Jazz	N/A
2340	Arts & Photography	Music	Biographies	Pop	N/A
9681286011	Arts & Photography	Music	Biographies	Punk	N/A
9681287011	Arts & Photography	Music	Biographies	Rap & Hip-Hop	N/A
2341	Arts & Photography	Music	Biographies	Rhythm & Blues	N/A
2342	Arts & Photography	Music	Biographies	Rock	N/A
4509	Arts & Photography	Music	Business	N/A	N/A
4510	Arts & Photography	Music	General	N/A	N/A
4511	Arts & Photography	Music	History & Criticism	N/A	N/A
1764	Arts & Photography	Music	Instruments	N/A	N/A
1765	Arts & Photography	Music	Instruments	Brass	N/A
8622772011	Arts & Photography	Music	Instruments	Brass	French Horns
8622773011	Arts & Photography	Music	Instruments	Brass	Trombones
8622774011	Arts & Photography	Music	Instruments	Brass	Trumpets & Cornets
8622775011	Arts & Photography	Music	Instruments	Brass	Trumpets & Cornets
8622776011	Arts & Photography	Music	Instruments	Brass	Trumpets & Cornets
1766	Arts & Photography	Music	Instruments	General	N/A
1767	Arts & Photography	Music	Instruments	Guitar	N/A
1768	Arts & Photography	Music	Instruments	Percussion	N/A
8622779011	Arts & Photography	Music	Instruments	Percussion	Drum Sets
8622780011	Arts & Photography	Music	Instruments	Percussion	Snare Drums
1769	Arts & Photography	Music	Instruments	Piano	N/A
1770	Arts & Photography	Music	Instruments	Strings	N/A
8622783011	Arts & Photography	Music	Instruments	Strings	Banjos
8622784011	Arts & Photography	Music	Instruments	Strings	Cellos
8622785011	Arts & Photography	Music	Instruments	Strings	Mandolins
8622786011	Arts & Photography	Music	Instruments	Strings	Ukuleles
8622787011	Arts & Photography	Music	Instruments	Strings	Violas
8622788011	Arts & Photography	Music	Instruments	Strings	Violins
1771	Arts & Photography	Music	Instruments	Voice	N/A
1772	Arts & Photography	Music	Instruments	Woodwinds	N/A
8622791011	Arts & Photography	Music	Instruments	Woodwinds	Bassoons
8622792011	Arts & Photography	Music	Instruments	Woodwinds	Clarinets
8622793011	Arts & Photography	Music	Instruments	Woodwinds	Flutes
8622794011	Arts & Photography	Music	Instruments	Woodwinds	Harmonicas
8622795011	Arts & Photography	Music	Instruments	Woodwinds	Recorders
8622796011	Arts & Photography	Music	Instruments	Woodwinds	Saxophones
4512	Arts & Photography	Music	Musical Genres	N/A	N/A
4514	Arts & Photography	Music	Musical Genres	Bluegrass	N/A
4515	Arts & Photography	Music	Musical Genres	Blues	N/A
1537	Arts & Photography	Music	Musical Genres	Classical	N/A
1538	Arts & Photography	Music	Musical Genres	Classical	Chamber Music
1823	Arts & Photography	Music	Musical Genres	Classical	Orchestral Songbooks
4521	Arts & Photography	Music	Musical Genres	Country	N/A
271613011	Arts & Photography	Music	Musical Genres	Dance	N/A
1779	Arts & Photography	Music	Musical Genres	Ethnic & International	N/A
8947736011	Arts & Photography	Music	Musical Genres	Ethnic & International	Ethnic
1780	Arts & Photography	Music	Musical Genres	Ethnic & International	Ethnomusicology
1782	Arts & Photography	Music	Musical Genres	Ethnic & International	International
1783	Arts & Photography	Music	Musical Genres	Ethnic & International	Salsa
1784	Arts & Photography	Music	Musical Genres	Ethnic & International	World Beat
4522	Arts & Photography	Music	Musical Genres	Folk & Traditional	N/A
13022411	Arts & Photography	Music	Musical Genres	General	N/A
1801	Arts & Photography	Music	Musical Genres	Gospel	N/A
4524	Arts & Photography	Music	Musical Genres	Heavy Metal	N/A
4525	Arts & Photography	Music	Musical Genres	Jazz	N/A
4527	Arts & Photography	Music	Musical Genres	Military Marches	N/A
4528	Arts & Photography	Music	Musical Genres	Musicals	N/A
4529	Arts & Photography	Music	Musical Genres	New Age	N/A
1728	Arts & Photography	Music	Musical Genres	Opera	N/A
1747	Arts & Photography	Music	Musical Genres	Opera	General
1822	Arts & Photography	Music	Musical Genres	Opera	Songbooks
4531	Arts & Photography	Music	Musical Genres	Popular	N/A
4532	Arts & Photography	Music	Musical Genres	Punk	N/A
4533	Arts & Photography	Music	Musical Genres	Rap	N/A
4534	Arts & Photography	Music	Musical Genres	Reggae	N/A
1798	Arts & Photography	Music	Musical Genres	Religious & Sacred Music	N/A
1799	Arts & Photography	Music	Musical Genres	Religious & Sacred Music	Christian
332927011	Arts & Photography	Music	Musical Genres	Religious & Sacred Music	Christian
4520	Arts & Photography	Music	Musical Genres	Religious & Sacred Music	Christian
1801	Arts & Photography	Music	Musical Genres	Religious & Sacred Music	Christian
1802	Arts & Photography	Music	Musical Genres	Religious & Sacred Music	Christian
1803	Arts & Photography	Music	Musical Genres	Religious & Sacred Music	Jewish
1804	Arts & Photography	Music	Musical Genres	Religious & Sacred Music	Muslim
4535	Arts & Photography	Music	Musical Genres	Rhythm & Blues	N/A
4536	Arts & Photography	Music	Musical Genres	Rock	N/A
4537	Arts & Photography	Music	Musical Genres	Soul	N/A
4538	Arts & Photography	Music	Recording & Sound	N/A	N/A
1809	Arts & Photography	Music	Reference	N/A	N/A
1821	Arts & Photography	Music	Songbooks	N/A	N/A
10095049011	Arts & Photography	Music	Songbooks	Blank Sheet Music	N/A
8622798011	Arts & Photography	Music	Songbooks	Brass	N/A
10099177011	Arts & Photography	Music	Songbooks	Brass	French Horns
10099181011	Arts & Photography	Music	Songbooks	Brass	General
10099184011	Arts & Photography	Music	Songbooks	Brass	Trombones
10099188011	Arts & Photography	Music	Songbooks	Brass	Trumpets & Cornets
10099192011	Arts & Photography	Music	Songbooks	Brass	Tubas
2479423011	Arts & Photography	Music	Songbooks	Choral	N/A
2479429011	Arts & Photography	Music	Songbooks	Combination Piano, Vocal, & Guitar	N/A
1820	Arts & Photography	Music	Songbooks	Folk & Traditional	N/A
8622797011	Arts & Photography	Music	Songbooks	General	N/A
2479424011	Arts & Photography	Music	Songbooks	Guitars & Fretted Instruments	N/A
10056638011	Arts & Photography	Music	Songbooks	Guitars & Fretted Instruments	Banjos
10056639011	Arts & Photography	Music	Songbooks	Guitars & Fretted Instruments	Bass Guitars
10056640011	Arts & Photography	Music	Songbooks	Guitars & Fretted Instruments	Electric Bass & Guitar
10056641011	Arts & Photography	Music	Songbooks	Guitars & Fretted Instruments	General
10056642011	Arts & Photography	Music	Songbooks	Guitars & Fretted Instruments	Guitars
10056643011	Arts & Photography	Music	Songbooks	Guitars & Fretted Instruments	Mandolins
10056644011	Arts & Photography	Music	Songbooks	Guitars & Fretted Instruments	Ukuleles
10037931011	Arts & Photography	Music	Songbooks	Jazz	N/A
2479425011	Arts & Photography	Music	Songbooks	Mixed Collections	N/A
2479426011	Arts & Photography	Music	Songbooks	Musicals & Film	N/A
1822	Arts & Photography	Music	Songbooks	Opera & Classical	N/A
1823	Arts & Photography	Music	Songbooks	Orchestral	N/A
2479427011	Arts & Photography	Music	Songbooks	Percussion	N/A
2479428011	Arts & Photography	Music	Songbooks	Piano	N/A
1824	Arts & Photography	Music	Songbooks	Popular	N/A
2479422011	Arts & Photography	Music	Songbooks	Specific Artist	N/A
8622799011	Arts & Photography	Music	Songbooks	Strings	N/A
10056632011	Arts & Photography	Music	Songbooks	Strings	Cellos
10056633011	Arts & Photography	Music	Songbooks	Strings	General
10056634011	Arts & Photography	Music	Songbooks	Strings	Harps
10056635011	Arts & Photography	Music	Songbooks	Strings	Viola
10056636011	Arts & Photography	Music	Songbooks	Strings	Violins
2479430011	Arts & Photography	Music	Songbooks	Vocal	N/A
8622800011	Arts & Photography	Music	Songbooks	Woodwinds	N/A
10056623011	Arts & Photography	Music	Songbooks	Woodwinds	Bassoons
10056624011	Arts & Photography	Music	Songbooks	Woodwinds	Clarinets
10056625011	Arts & Photography	Music	Songbooks	Woodwinds	Flutes
10056626011	Arts & Photography	Music	Songbooks	Woodwinds	General
10056627011	Arts & Photography	Music	Songbooks	Woodwinds	Harmonicas
10056628011	Arts & Photography	Music	Songbooks	Woodwinds	Oboes
10056629011	Arts & Photography	Music	Songbooks	Woodwinds	Recorders
10056630011	Arts & Photography	Music	Songbooks	Woodwinds	Saxophones
4539	Arts & Photography	Music	Theory, Composition & Performance	N/A	N/A
4540	Arts & Photography	Music	Theory, Composition & Performance	Appreciation	N/A
10095049011	Arts & Photography	Music	Theory, Composition & Performance	Blank Sheet Music	N/A
4541	Arts & Photography	Music	Theory, Composition & Performance	Composition	N/A
4542	Arts & Photography	Music	Theory, Composition & Performance	Conducting	N/A
4543	Arts & Photography	Music	Theory, Composition & Performance	Exercises	N/A
4544	Arts & Photography	Music	Theory, Composition & Performance	Instruction & Study	N/A
10094987011	Arts & Photography	Music	Theory, Composition & Performance	Lyrics	N/A
4545	Arts & Photography	Music	Theory, Composition & Performance	MIDI, Mixers, etc.	N/A
13922599011	Arts & Photography	Music	Theory, Composition & Performance	Philosophy & Social Aspects	N/A
4546	Arts & Photography	Music	Theory, Composition & Performance	Songwriting	N/A
4547	Arts & Photography	Music	Theory, Composition & Performance	Techniques	N/A
4548	Arts & Photography	Music	Theory, Composition & Performance	Theory	N/A
1771	Arts & Photography	Music	Theory, Composition & Performance	Vocal	N/A
520982	Arts & Photography	Other Media	N/A	N/A	N/A
3564967011	Arts & Photography	Other Media	Body Art & Tattoo	N/A	N/A
520996	Arts & Photography	Other Media	Calligraphy	N/A	N/A
3825091	Arts & Photography	Other Media	Ceramics	N/A	N/A
1848	Arts & Photography	Other Media	Conceptual	N/A	N/A
8622801011	Arts & Photography	Other Media	Digital	N/A	N/A
16926915011	Arts & Photography	Other Media	Environmental & Land Art	N/A	N/A
16244381	Arts & Photography	Other Media	Erotic	N/A	N/A
8622819011	Arts & Photography	Other Media	Film & Video	N/A	N/A
13922568011	Arts & Photography	Other Media	Glass	N/A	N/A
3564968011	Arts & Photography	Other Media	Graffiti & Street Art	N/A	N/A
15762861	Arts & Photography	Other Media	Illuminations	N/A	N/A
15762851	Arts & Photography	Other Media	Installations	N/A	N/A
1868	Arts & Photography	Other Media	Mixed Media	N/A	N/A
1869	Arts & Photography	Other Media	Mosaic	N/A	N/A
234958011	Arts & Photography	Other Media	Prints	N/A	N/A
13922569011	Arts & Photography	Other Media	Public Art	N/A	N/A
1876	Arts & Photography	Painting	N/A	N/A	N/A
5160	Arts & Photography	Painting	Acrylics	N/A	N/A
2018	Arts & Photography	Painting	Landscape	N/A	N/A
171126	Arts & Photography	Painting	Oil Painting	N/A	N/A
3825101	Arts & Photography	Painting	Portraits	N/A	N/A
15762871	Arts & Photography	Painting	Still Life	N/A	N/A
2019	Arts & Photography	Painting	Watercolor	N/A	N/A
521000	Arts & Photography	Performing Arts	N/A	N/A	N/A
1474	Arts & Photography	Performing Arts	Dance	N/A	N/A
1475	Arts & Photography	Performing Arts	Dance	Ballet	N/A
1476	Arts & Photography	Performing Arts	Dance	Ballroom	N/A
15763011	Arts & Photography	Performing Arts	Dance	Choreography	N/A
1512	Arts & Photography	Performing Arts	Dance	Classical	N/A
1513	Arts & Photography	Performing Arts	Dance	Folk	N/A
1515	Arts & Photography	Performing Arts	Dance	Jazz	N/A
1516	Arts & Photography	Performing Arts	Dance	Modern	N/A
1517	Arts & Photography	Performing Arts	Dance	Notation	N/A
1518	Arts & Photography	Performing Arts	Dance	Popular	N/A
1519	Arts & Photography	Performing Arts	Dance	Reference	N/A
13922600011	Arts & Photography	Performing Arts	Dance	Regional & Ethnic	N/A
1520	Arts & Photography	Performing Arts	Dance	Tango	N/A
1521	Arts & Photography	Performing Arts	Dance	Tap	N/A
713027011	Arts & Photography	Performing Arts	General	N/A	N/A
11160393011	Arts & Photography	Performing Arts	Individual Directors	N/A	N/A
1099186	Arts & Photography	Performing Arts	Magic & Illusion	N/A	N/A
271614011	Arts & Photography	Performing Arts	Reference	N/A	N/A
2154	Arts & Photography	Performing Arts	Theater	N/A	N/A
2155	Arts & Photography	Performing Arts	Theater	Acting & Auditioning	N/A
2156	Arts & Photography	Performing Arts	Theater	Broadway & Musicals	N/A
2157	Arts & Photography	Performing Arts	Theater	Circus	N/A
2158	Arts & Photography	Performing Arts	Theater	Direction & Production	N/A
2221	Arts & Photography	Performing Arts	Theater	History & Criticism	N/A
2224	Arts & Photography	Performing Arts	Theater	Miming	N/A
2225	Arts & Photography	Performing Arts	Theater	Playwriting	N/A
2227	Arts & Photography	Performing Arts	Theater	Puppets & Puppetry	N/A
2229	Arts & Photography	Performing Arts	Theater	Stagecraft	N/A
2020	Arts & Photography	Photography & Video	N/A	N/A	N/A
3564969011	Arts & Photography	Photography & Video	Aerial	N/A	N/A
2021	Arts & Photography	Photography & Video	Architectural	N/A	N/A
8622808011	Arts & Photography	Photography & Video	Architectural	Bridges	N/A
8622809011	Arts & Photography	Photography & Video	Architectural	Cities	N/A
8622810011	Arts & Photography	Photography & Video	Architectural	Houses & Hotels	N/A
8622811011	Arts & Photography	Photography & Video	Architectural	Lighthouses	N/A
8622812011	Arts & Photography	Photography & Video	Architectural	Monuments	N/A
8622813011	Arts & Photography	Photography & Video	Architectural	Restaurants	N/A
13922603011	Arts & Photography	Photography & Video	Astrophotography	N/A	N/A
15762981	Arts & Photography	Photography & Video	Black & White	N/A	N/A
2026	Arts & Photography	Photography & Video	Business & Careers	N/A	N/A
8622815011	Arts & Photography	Photography & Video	Business & Careers	Business Aspects	N/A
8622817011	Arts & Photography	Photography & Video	Business & Careers	Careers	N/A
8622818011	Arts & Photography	Photography & Video	Business & Careers	Commercial	N/A
8622835011	Arts & Photography	Photography & Video	Celebrities	N/A	N/A
271619011	Arts & Photography	Photography & Video	Children	N/A	N/A
2023	Arts & Photography	Photography & Video	Cinematography	N/A	N/A
2024	Arts & Photography	Photography & Video	Collections, Catalogues & Exhibitions	N/A	N/A
8622821011	Arts & Photography	Photography & Video	Collections, Catalogues & Exhibitions	Annuals	N/A
8622822011	Arts & Photography	Photography & Video	Collections, Catalogues & Exhibitions	General	N/A
8622823011	Arts & Photography	Photography & Video	Collections, Catalogues & Exhibitions	Group Shows	N/A
8622824011	Arts & Photography	Photography & Video	Collections, Catalogues & Exhibitions	Permanent Collections	N/A
2027	Arts & Photography	Photography & Video	Criticism & Essays	N/A	N/A
8298054011	Arts & Photography	Photography & Video	Criticism & Essays	Criticism	N/A
8298055011	Arts & Photography	Photography & Video	Criticism & Essays	Essays	N/A
3825141	Arts & Photography	Photography & Video	Digital Photography	N/A	N/A
505092	Arts & Photography	Photography & Video	Equipment, Techniques & Reference	N/A	N/A
2025	Arts & Photography	Photography & Video	Equipment, Techniques & Reference	Color	N/A
2028	Arts & Photography	Photography & Video	Equipment, Techniques & Reference	Darkroom & Processing	N/A
8622837011	Arts & Photography	Photography & Video	Equipment, Techniques & Reference	Digital Editing	N/A
10825721	Arts & Photography	Photography & Video	Equipment, Techniques & Reference	Equipment	N/A
8622838011	Arts & Photography	Photography & Video	Equipment, Techniques & Reference	Handbooks & Manuals	N/A
2080	Arts & Photography	Photography & Video	Equipment, Techniques & Reference	Lighting	N/A
2085	Arts & Photography	Photography & Video	Equipment, Techniques & Reference	Reference	N/A
2029	Arts & Photography	Photography & Video	Erotic Photography	N/A	N/A
2030	Arts & Photography	Photography & Video	Fashion	N/A	N/A
8622819011	Arts & Photography	Photography & Video	Film & Video Art	N/A	N/A
13922604011	Arts & Photography	Photography & Video	Forensic	N/A	N/A
2031	Arts & Photography	Photography & Video	General	N/A	N/A
2032	Arts & Photography	Photography & Video	History	N/A	N/A
8622825011	Arts & Photography	Photography & Video	Individual Photographers	N/A	N/A
8622826011	Arts & Photography	Photography & Video	Individual Photographers	Artists' Books	N/A
8622827011	Arts & Photography	Photography & Video	Individual Photographers	Essays	N/A
8622828011	Arts & Photography	Photography & Video	Individual Photographers	General	N/A
8622829011	Arts & Photography	Photography & Video	Individual Photographers	Monographs	N/A
3564970011	Arts & Photography	Photography & Video	Lifestyle & Events	N/A	N/A
8622832011	Arts & Photography	Photography & Video	Lifestyle & Events	Celebrations & Events	N/A
13922605011	Arts & Photography	Photography & Video	Lifestyle & Events	Food	N/A
8622833011	Arts & Photography	Photography & Video	Lifestyle & Events	Lifestyle	N/A
13922606011	Arts & Photography	Photography & Video	Lifestyle & Events	Street Photography	N/A
8622834011	Arts & Photography	Photography & Video	Lifestyle & Events	Weddings	N/A
5019	Arts & Photography	Photography & Video	Military History	N/A	N/A
2081	Arts & Photography	Photography & Video	Nature & Wildlife	N/A	N/A
13922583011	Arts & Photography	Photography & Video	Nature & Wildlife	Gardens	N/A
8298056011	Arts & Photography	Photography & Video	Nature & Wildlife	Landscapes	N/A
8298057011	Arts & Photography	Photography & Video	Nature & Wildlife	Plants & Animals	N/A
13922607011	Arts & Photography	Photography & Video	Nature & Wildlife	Underwater	N/A
8622831011	Arts & Photography	Photography & Video	Nude Photography	N/A	N/A
8622836011	Arts & Photography	Photography & Video	Photojournalism & Essays	N/A	N/A
2082	Arts & Photography	Photography & Video	Photojournalism & Essays	Photo Essays	N/A
2083	Arts & Photography	Photography & Video	Photojournalism & Essays	Photojournalism	N/A
2084	Arts & Photography	Photography & Video	Portraits	N/A	N/A
271621011	Arts & Photography	Photography & Video	Sports	N/A	N/A
2087	Arts & Photography	Photography & Video	Travel	N/A	N/A
1873	Arts & Photography	Religious	N/A	N/A	N/A
2106	Arts & Photography	Sculpture	N/A	N/A	N/A
5824920011	Arts & Photography	Sculpture	Appreciation	N/A	N/A
5824919011	Arts & Photography	Sculpture	Technique	N/A	N/A
1836	Arts & Photography	Study & Teaching	N/A	N/A	N/A
7976024011	Arts & Photography	Vehicle Pictorials	N/A	N/A	N/A
10529	Arts & Photography	Vehicle Pictorials	Automotive	N/A	N/A
11943	Arts & Photography	Vehicle Pictorials	Aviation	N/A	N/A
10524	Arts & Photography	Vehicle Pictorials	Motorcycles	N/A	N/A
11964	Arts & Photography	Vehicle Pictorials	Ships	N/A	N/A
7921657011	Arts & Photography	Vehicle Pictorials	Trains	N/A	N/A
2	Biographies & Memoirs	N/A	N/A	N/A	N/A
2327	Biographies & Memoirs	Arts & Literature	N/A	N/A	N/A
2328	Biographies & Memoirs	Arts & Literature	Actors & Entertainers	N/A	N/A
2329	Biographies & Memoirs	Arts & Literature	Artists, Architects & Photographers	N/A	N/A
2330	Biographies & Memoirs	Arts & Literature	Authors	N/A	N/A
2331	Biographies & Memoirs	Arts & Literature	Composers & Musicians	N/A	N/A
2332	Biographies & Memoirs	Arts & Literature	Composers & Musicians	Classical	N/A
2337	Biographies & Memoirs	Arts & Literature	Composers & Musicians	Country & Folk	N/A
8417570011	Biographies & Memoirs	Arts & Literature	Composers & Musicians	Country & Folk	Country
8417571011	Biographies & Memoirs	Arts & Literature	Composers & Musicians	Country & Folk	Folk
2338	Biographies & Memoirs	Arts & Literature	Composers & Musicians	General	N/A
9681285011	Biographies & Memoirs	Arts & Literature	Composers & Musicians	Heavy Metal	N/A
2339	Biographies & Memoirs	Arts & Literature	Composers & Musicians	Jazz	N/A
2340	Biographies & Memoirs	Arts & Literature	Composers & Musicians	Pop	N/A
9681286011	Biographies & Memoirs	Arts & Literature	Composers & Musicians	Punk	N/A
9681287011	Biographies & Memoirs	Arts & Literature	Composers & Musicians	Rap & Hip-Hop	N/A
2341	Biographies & Memoirs	Arts & Literature	Composers & Musicians	Rhythm & Blues	N/A
2342	Biographies & Memoirs	Arts & Literature	Composers & Musicians	Rock	N/A
2343	Biographies & Memoirs	Arts & Literature	Dancers	N/A	N/A
2345	Biographies & Memoirs	Arts & Literature	Movie Directors	N/A	N/A
2347	Biographies & Memoirs	Arts & Literature	Television Performers	N/A	N/A
